Season,Location,Format,Date,Winner,Attendance
1996–97,Amsterdam,Standard,03/23/97,Emmanuel Vernay,330
1996–97,"Washington, D.C.",Limited,04/27/97,Mike Long,404
1996–97,Tokyo,Limited,05/05/97,Kenichi Fujita,825
1996–97,Barcelona,Limited,05/05/97,Pierre Fayard,306
1996–97,London,Standard Block Constructed,07/13/97,Michael Sochon,398
1997–98,Toronto,Block Constructed,08/31/97,Brian Kibler,169
1997–98,Copenhagen,Block Constructed,09/07/97,Karsten Hoppe,278
1997–98,Como,Limited,11/09/97,Michael Debard,215
1997–98,San Francisco,Extended,12/07/97,Robert Swarowski,205
1997–98,Madrid,Extended,01/25/98,Steven O'Mahoney-Schwartz,311
1997–98,Rio de Janeiro,Extended,02/01/98,Jon Finkel,491
1997–98,Lyon,Extended,02/08/98,Raphaël Lévy,461
1997–98,Melbourne,Limited,02/15/98,Philip Davey,140
1997–98,Stockholm,Limited,03/22/98,Olle Råde,282
1997–98,Atlanta,Limited,04/26/98,Randy Buehler,334
1997–98,Antwerp,Limited,04/26/98,Stephan Valkyser,331
1997–98,Zürich,Limited,05/31/98,Steven O'Mahoney Schwartz,357
1997–98,Indianapolis,Limited,06/28/98,Eric Jordan,310
1998–99,Boston,Standard Block Constructed,09/06/98,Jon Finkel,314
1998–99,Lisbon,Standard Block Constructed,09/13/98,Bruno Cardoso,544
1998–99,Austin,Standard Block Constructed,10/11/98,Gary Krakower,213
1998–99,Birmingham,Block Constructed,10/18/98,Craig Jones,346
1998–99,Manila,Limited,12/13/98,Toshiki Tsukamoto,647
1998–99,Kyoto,Limited,01/17/99,Yoshikazu Ishii,375
1998–99,San Francisco,Limited,01/24/99,Richard Van Cleave,324
1998–99,Barcelona,Limited,02/07/99,Kai Budde,407
1998–99,Vienna,Extended,03/14/99,Kai Budde,367
1998–99,Kansas City,Extended,03/28/99,Mark Gordon,458
1998–99,Oslo,Limited,04/11/99,Jim Herold,346
1998–99,Taipei,Limited,04/25/99,Kenichi Fujita,194
1998–99,Amsterdam,Limited,05/16/99,Kai Budde,600
1998–99,"Washington, D.C.",Limited,06/20/99,Ben Farkas,434
1999–00,Tohoku,Limited,09/12/99,Masayuki Higashino,377
1999–00,Memphis,Block Constructed,09/19/99,Michael Pustilnik,355
1999–00,Lisbon,Block Constructed,09/26/99,Helder Coelho,765
1999–00,Kyushu,Block Constructed,10/31/99,Tadayoshi Komiya,456
1999–00,São Paulo,Limited,11/07/99,Rafael Assafi Alvarenga,291
1999–00,Milan,Block Constructed,11/07/99,Ziga Fritz,476
1999–00,San Diego,Limited,11/21/99,William Jensen,308
1999–00,Tours,Limited,11/28/99,Alex Shvartsman,474
1999–00,Manila,Limited,12/05/99,Christopher Parreña,509
1999–00,Seattle,Extended,01/16/00,"Bob Maher, Jr.",296
1999–00,Madrid,Extended,01/30/00,Carlos Barrado,332
1999–00,Taipei,Extended,02/13/00,Tadayoshi Komiya,409
1999–00,Philadelphia,Extended,02/20/00,Trey Van Cleave,582
1999–00,Cannes,Team Limited,02/27/00,Florent Jeudon,291
1999–00,Kuala Lumpur,Extended,03/05/00,Ryan Soh,295
1999–00,Frankfurt,Team Limited,04/09/00,Jim Herold,582
1999–00,Nagoya,Team Limited,04/23/00,Alex Shvartsman,651
1999–00,St. Louis,Team Limited,05/14/00,Daniel O'Mahoney Schwartz,204
1999–00,Copenhagen,Limited,06/18/00,Niels Jensen,383
1999–00,Pittsburgh,Team Limited,06/25/00,"Ben Rubin, William Jensen, Casey McCarrel",234
2000–01,Porto,Limited,09/24/00,Antoine Ruel,672
2000–01,Sapporo,Limited,09/24/00,Satoshi Nakamura,267
2000–01,Manchester,Limited,10/08/00,Darwin Kastle,247
2000–01,Helsinki,Limited,10/29/00,Noah Boeken,367
2000–01,Dallas,Limited,10/29/00,Matthew Vienneau,312
2000–01,Kyoto,Extended,11/12/00,Tsuyoshi Fujita,726
2000–01,Phoenix,Extended,11/12/00,Sean Fitzgerald,206
2000–01,Sydney,Extended,11/19/00,Gordon Lin,194
2000–01,Florence,Extended,11/26/00,Benedikt Klauser,579
2000–01,Buenos Aires,Extended,11/26/00,Hugo Araiza,314
2000–01,Singapore,Extended,12/10/00,Sam Lau,206
2000–01,New Orleans,Limited,01/07/01,Bill Stead,434
2000–01,Amsterdam,Limited,01/14/01,Chris Benafel,642
2000–01,Hiroshima,Limited,01/28/01,Masayuki Higashino,444
2000–01,Kaohsiung,Limited,02/11/01,Tobey Tamber,207
2000–01,Valencia,Limited,02/11/01,Ricard Tuduri,417
2000–01,Cologne,Limited,02/25/01,Jim Herold,546
2000–01,Boston,Limited,02/25/01,Tom Swan,590
2000–01,Prague,Limited,03/11/01,Ryan Fuller,617
2000–01,Rio de Janeiro,Limited,03/11/01,Carlos Romão,343
2000–01,Gothenburg,Limited,03/25/01,Jan Schreurs,459
2000–01,Detroit,Limited,04/01/01,Matthew Vienneau,641
2000–01,Moscow,Block Constructed,04/22/01,Ryan Fuller,241
2000–01,Yokohama,Team Limited,05/13/01,"Chris Benafel, Ryan Fuller",846
2000–01,Turin,Team Limited,05/27/01,"Peter Szigeti, Brock Parker, Daniel Clegg",303
2000–01,Taipei,Team Limited,07/22/01,"David Williams, Chris Benafel, Daniel Clegg",255
2000–01,Columbus,Team Limited,07/29/01,Darwin Kastle,489
2001–02,Kobe,Block Constructed,08/19/01,Itaru Ishida,1350
2001–02,Denver,Block Constructed,08/19/01,Brett Shears,402
2001–02,Santiago,Block Constructed,08/26/01,Matias Gabrenja,303
2001–02,Singapore,Block Constructed,09/02/01,Albertus Hui Chin Law,266
2001–02,London,Block Constructed,09/02/01,Kai Budde,551
2001–02,Warsaw,Block Constructed,09/09/01,Rickard Österberg,401
2001–02,Oslo,Block Constructed,09/23/01,Trey Van Cleave,302
2001–02,Minneapolis,Block Constructed,09/30/01,Dave Humpherys,409
2001–02,Vienna,Limited,10/07/01,Stephan Meyer,680
2001–02,Cape Town,Limited,10/07/01,Ben Seck,171
2001–02,Shizuoka,Limited,10/14/01,Kohei Yamadaya,705
2001–02,Montreal,Limited,10/14/01,Mike Turian,279
2001–02,Brisbane,Limited,10/21/01,Richard Johnston,195
2001–02,Hong Kong,Limited,11/18/01,Jeff Fung,184
2001–02,Atlanta,Limited,11/18/01,Eugene Harvey,377
2001–02,Biarritz,Limited,11/25/01,Nicolas Labarre,525
2001–02,Curitiba,Extended,12/09/01,Guilherme Svaldi,330
2001–02,Las Vegas,Extended,12/09/01,Michael Pustilnik,462
2001–02,Sendai,Extended,12/16/01,Kazuaki Arahori,427
2001–02,Houston,Extended,01/06/02,Joshua Smith,272
2001–02,Lisbon,Extended,01/20/02,Kai Budde,668
2001–02,Heidelberg,Limited,02/10/02,Kamiel Cornelissen,880
2001–02,Fukuoka,Limited,02/17/02,Alex Shvartsman,428
2001–02,Tampa,Limited,02/24/02,Sol Malka,410
2001–02,Antwerp,Limited,03/03/02,Kai Budde,614
2001–02,Barcelona,Limited,03/24/02,Noah Boeken,700
2001–02,Kuala Lumpur,Limited,03/31/02,Ding Yuan Leong,237
2001–02,Naples,Limited,04/07/02,Pierre Malherbaud,296
2001–02,Nagoya,Team Limited,05/12/02,Masashiro Kuroda,576
2001–02,Milwaukee,Standard,05/12/02,Eric Taylor,652
2001–02,New Jersey,Team Limited,06/30/02,Eric James,603
2001–02,São Paulo,Standard,07/14/02,Gabriel Caligaris,344
2001–02,Taipei,Standard,07/14/02,Sheng Hsun Hsia,209
2002–03,Sapporo,Block Constructed,08/25/02,Shinichi Kumagai,467
2002–03,London,Block Constructed,09/01/02,Jakub Slemr,683
2002–03,Cleveland,Block Constructed,09/08/02,Valentin Moskovich,607
2002–03,Hamburg,Block Constructed,09/29/02,Simon Hockwin,582
2002–03,Utsunomiya,Limited,10/13/02,Rei Hashimoto,682
2002–03,Copenhagen,Limited,10/13/02,"Bob Maher, Jr.",507
2002–03,Philadelphia,Limited,10/27/02,Jeff Cunningham,592
2002–03,Melbourne,Limited,11/24/02,Ben Seck,180
2002–03,Los Angeles,Limited,11/24/02,Philip Freneau,480
2002–03,Reims,Extended,12/01/02,Alex Mack,833
2002–03,New Orleans,Extended,01/05/03,Zvi Mowshowitz,386
2002–03,Hiroshima,Extended,01/26/03,Motokiyo Azuma,399
2002–03,Sevilla,Limited,02/23/03,Anton Jonsson,816
2002–03,Boston,Limited,02/23/03,Brian Kibler,611
2002–03,Kyoto,Limited,03/30/03,Akira Asahara,680
2002–03,Singapore,Limited,03/30/03,Mikael Polgary,239
2002–03,Prague,Limited,04/13/03,Stefan Jedlicka,951
2002–03,Pittsburgh,Team Limited,06/01/03,Justin Gary,585
2002–03,Amsterdam,Team Limited,06/08/03,Wilfried Ranque,594
2002–03,Bangkok,Standard,07/13/03,Tsuyoshi Fujita,257
2002–03,Detroit,Block Constructed,07/13/03,"Bob Maher, Jr.",604
2003–04,Yokohama,Block Constructed,08/24/03,Shu Komuro,810
2003–04,London,Block Constructed,08/24/03,Diego Ostrovich,523
2003–04,Atlanta,Standard,08/31/03,Marco Blume,588
2003–04,Genoa,Block Constructed,09/14/03,Reinhard Blech,585
2003–04,Sydney,Limited,10/05/03,Andrew Grain,274
2003–04,Kansas City,Limited,10/19/03,Antonino De Rosa,500
2003–04,Lyon,Limited,10/26/03,Yann Hamon,1016
2003–04,Shizuoka,Limited,11/09/03,Kazuki Katou,653
2003–04,Gothenburg,Limited,11/23/03,Jelger Wiegersma,461
2003–04,Munich,Limited,12/07/03,Yann Hamon,1051
2003–04,Anaheim,Extended,12/14/03,Ben Rubin,273
2003–04,Okayama,Extended,01/25/04,Kazumasa Shiki,401
2003–04,Oakland,Limited,02/08/04,Ken Ho,446
2003–04,Madrid,Limited,02/22/04,Kai Budde,1351
2003–04,Hong Kong,Limited,03/07/04,Chuen Hwa Tan,250
2003–04,Sendai,Limited,03/21/04,Ichiro Shimura,531
2003–04,Columbus,Limited,03/28/04,Mike Turian,854
2003–04,Birmingham,Limited,03/28/04,Stefan Jedlicka,579
2003–04,"Washington, D.C.",Team Limited,04/18/04,Chris Fennel,573
2003–04,Bochum,Team Limited,04/18/04,Stijn Cornelissen,639
2003–04,Brussels,Standard,05/30/04,Tobias Henke,736
2003–04,Zürich,Block Constructed,06/27/04,Manuel Bucher,640
2003–04,Kuala Lumpur,Standard,07/25/04,Masahiko Morita,262
2003–04,Orlando,Block Constructed,07/25/04,Osyp Lebedowicz,500
2003–04,New Jersey,Block Constructed,08/15/04,Jeff Garza,958
2003–04,Nagoya,Standard,08/29/04,Tatsunori Kishi,941
2004–05,Rimini,Block Constructed,09/11/04,Domingo Ottati,750
2004–05,Vienna,Limited,10/10/04,Nikolaus Eigner,978
2004–05,Austin,Limited,10/10/04,Jonathan Sonne,386
2004–05,Helsinki,Limited,11/07/04,Olivier Ruel,455
2004–05,Brisbane,Limited,11/14/04,Will Copeman,222
2004–05,Yokohama,Limited,11/21/04,Kazuki Katou,707
2004–05,Porto Alegre,Limited,11/21/04,Jose Barbero,343
2004–05,Paris,Limited,11/21/04,Wilco Pinkster,1592
2004–05,Chicago,Team Limited,12/19/04,Timothy Aten,474
2004–05,Osaka,Team Limited,01/09/05,Masashiro Kuroda,480
2004–05,Boston,Extended,02/06/05,Masashi Oiso,699
2004–05,Eindhoven,Extended,02/27/05,Sebastien Roux,1010
2004–05,Seattle,Extended,03/06/05,Ernie Marchesano,390
2004–05,Singapore,Extended,03/20/05,Itaru Ishida,373
2004–05,Leipzig,Limited,03/27/05,Rustam Bakirov,897
2004–05,Lisbon,Limited,04/24/05,Marcio Carvalho,1169
2004–05,Detroit,Limited,04/24/05,Jordan Berkowitz,491
2004–05,Matsuyama,Limited,05/15/05,Akira Asahara,419
2004–05,Bologna,Limited,06/12/05,Olivier Ruel,654
2004–05,Minneapolis,Block Constructed,07/17/05,Alex Lieberman,404
2004–05,Niigata,Block Constructed,07/24/05,Katsuhiro Mori,476
2004–05,Taipei,Block Constructed,08/07/05,Osamu Fujita,261
2004–05,Salt Lake City,Block Constructed,08/28/05,Antonino De Rosa,250
2004–05,Mexico City,Block Constructed,09/04/05,Julien Nuijten,305
2004–05,Nottingham,Limited,10/06/05,Nikola Vavra,560
2004–05,Melbourne,Extended,11/06/05,James Zhang,140
2004–05,Copenhagen,Extended,11/06/05,Julien Nuijten,340
2004–05,Kitakyushu,Extended,11/06/05,Tomohiro Kaji,272
2004–05,Philadelphia,Legacy,11/13/05,Jonathan Sonne,495
2004–05,Bilbao,Extended,11/20/05,Olivier Ruel,935
2004–05,Beijing,Extended,11/27/05,Dong Zhong,159
2006,Lille,Legacy,12/19/05,Helmut Summersberger,938
2006,Charlotte,Extended,12/19/05,Michael Krumb,456
2006,Hasselt,Limited,01/29/06,Sam Gomersall,1070
2006,Richmond,Limited,02/05/06,Richard Hoaen,559
2006,Dortmund,Limited,02/19/06,David Brucker,1029
2006,Manila,Limited,03/19/06,James Porter,368
2006,Cardiff,Limited,03/26/06,Martin Dingler,370
2006,Madison,Team Standard,03/26/06,Brian Ziegler,456
2006,Hamamatsu,Team Standard,04/09/06,Kotatsu Saitou,495
2006,Barcelona,Limited,04/09/06,Helmut Summersberger,1207
2006,Turin,Limited,06/04/06,Nico Bohny,656
2006,Toronto,Limited,06/04/06,Antonino De Rosa,506
2006,Kuala Lumpur,Limited,06/04/06,Kenji Tsumura,316
2006,Toulouse,Limited,06/25/06,Kenji Tsumura,674
2006,St. Louis,Limited,07/23/06,Shuhei Nakamura,466
2006,Malmö,Limited,07/23/06,Wessel Oomens,539
2006,Hiroshima,Limited,08/20/06,Shuhei Nakamura,417
2006,Phoenix,Limited,09/03/06,Carlos Romão,387
2006,Sydney,Limited,10/08/06,James Zhang,213
2006,Athens,Limited,10/15/06,Sebastian Aljiaj,470
2006,New Jersey,Limited,11/12/06,Guillaume Cardin,915
2006,Yamagata,Limited,11/19/06,Takahiro Suzuki,359
2007,Dallas,Extended,02/25/07,Raphaël Lévy,747
2007,Singapore,Extended,03/04/07,Raphaël Lévy,332
2007,Amsterdam,Two-Headed Giant Limited,03/11/07,Michael Havlik,1336
2007,Kyoto,Standard,03/18/07,Yuuya Watanabe,859
2007,Massachusetts,Two-Headed Giant Limited,05/01/07,Matt Wang,690
2007,Stockholm,Limited,05/06/07,Nicolay Potovin,713
2007,Columbus,Legacy,05/20/07,Steven Sadin,883
2007,Strasbourg,Block Constructed,05/20/07,Tomoharu Saitou,1155
2007,Montreal,Block Constructed,06/24/07,"Celso Zampere, Jr.",740
2007,San Francisco,Block Constructed,08/26/07,Luis Scott-Vargas,672
2007,Florence,Block Constructed,09/09/07,Masami Kaneko,1082
2007,Brisbane,Limited,10/21/07,Anatoli Lightfoot,233
2007,Bangkok,Limited,10/28/07,Masahiko Morita,314
2007,Krakow,Standard,11/04/07,Paul Cheon,848
2007,Kitakyushu,Limited,11/11/07,Jun'ya Iyanaga,354
2007,Daytona Beach,Limited,11/18/07,Seth Manfield,636
2008,Stuttgart,Limited,12/16/07,Shuhei Nakamura,1336
2008,Vancouver,Extended,02/24/08,Paul Cheon,395
2008,Shizuoka,Standard,03/09/08,Yuuta Takahashi,827
2008,Vienna,Extended,03/16/08,Mateusz Kopeć,1151
2008,Philadelphia,Extended,03/16/08,Gerard Fabiano,969
2008,Brussels,Limited,05/04/08,Kamiel Cornelissen,1470
2008,Birmingham,Block Constructed,06/01/08,Shi Tian Lee,581
2008,Indianapolis,Limited,06/22/08,Jelger Wiegersma,1124
2008,Buenos Aires,Standard,06/29/08,Franscico Braga,580
2008,Madrid,Limited,07/27/08,Lasse Nørgaard,1465
2008,Kobe,Block Constructed,08/03/08,Yuuta Takahashi,811
2008,Denver,Block Constructed,08/10/08,Gerry Thompson,625
2008,Copenhagen,Standard,08/24/08,David Larsson,610
2008,Manila,Block Constructed,08/31/08,Hironobu Sugaya,641
2008,Rimini,Block Constructed,09/14/08,Emanuele Giusti,686
2008,Kansas City,Limited,10/19/08,Tim Landale,746
2008,Paris,Limited,10/19/08,Arjan van Leeuwen,1838
2008,Atlanta,Limited,11/16/08,Luis Scott-Vargas,684
2008,Okayama,Limited,11/23/08,Makihito Mihara,635
2008,Taipei,Limited,11/30/08,Shuu Komuro,270
2008,Auckland,Limited,12/07/08,Dominic Lo,254
2009,Los Angeles,Extended,01/18/09,Luis Scott-Vargas,834
2009,Rotterdam,Limited,02/22/09,Arjan van Leeuwen,1227
2009,Chicago,Legacy,03/08/09,Gabriel Nassif,1230
2009,Hanover,Extended,03/15/09,Lino Burgold,925
2009,Singapore,Extended,03/22/09,Tomoharu Saitou,370
2009,Kobe,Extended,04/19/09,Tomoharu Saitou,545
2009,Barcelona,Standard,05/24/09,Joel Calafell,1495
2009,Seattle,Standard,05/31/09,Yann Massicard,1127
2009,São Paulo,Standard,06/14/09,Daniel Almeida Alves,639
2009,Boston,Limited,08/02/09,Marlon Egolf,1503
2009,Brighton,Limited,08/09/09,Olivier Ruel,760
2009,Bangkok,Limited,08/23/09,Shingou Kurihara,414
2009,Niigata,Limited,08/30/09,Tsuyoshi Ikeda,722
2009,Prague,Limited,09/06/09,Jan Schmidt,1543
2009,Melbourne,Limited,10/11/09,Yuuya Watanabe,416
2009,Tampa,Limited,10/25/09,Gaudenis Vidugiris,832
2009,Kitakyushu,Limited,11/01/09,Taisuke Ishii,501
2009,Paris,Limited,11/08/09,Adrian Rosada,1961
2009,Minneapolis,Limited,11/15/09,Zohar Bhagat,1187
2010,Oakland,Extended,02/14/10,Matthew Nass,770
2010,Madrid,Legacy,02/28/10,Andreas Müller,2228
2010,Kuala Lumpur,Standard,03/14/10,Ding Yuan Leong,518
2010,Yokohama,Extended,03/21/10,Katsuhiro Mori,1123
2010,Brussels,Standard,03/28/10,Emanuele Giusti,1667
2010,Houston,Extended,04/04/10,Adam Yurchick,662
2010,Lyon,Limited,05/09/10,Florian Koch,1425
2010,"Washington, D.C.",Standard,05/23/10,Brad Nelson,1932
2010,Sendai,Standard,06/06/10,Brian Kibler,907
2010,Manila,Standard,06/13/10,Naoki Nakada,1071
2010,Columbus,Legacy,08/01/10,Tomoharu Saitou,1296
2010,Gothenburg,Limited,08/29/10,Kenny Öberg,1001
2010,Portland,Limited,09/12/10,Martin Jůza,1370
2010,Sydney,Limited,10/10/10,Jeremy Neeman,434
2010,Toronto,Limited,10/24/10,Jonathan Smithers,1361
2010,Bochum,Limited,10/31/10,Martin Jůza,1814
2010,Nashville,Limited,11/21/10,Gerry Thompson,1481
2010,Florence,Limited,11/28/10,Pierluigi Aceto,1291
2011,Atlanta,Extended,01/23/11,Jason Ford,1213
2011,Paris,Limited,02/13/11,David Sharfman,2182
2011,Denver,Limited,02/20/11,Gaudenis Vidugiris,841
2011,Barcelona,Standard,03/27/11,Martin Scheinin,1201
2011,Dallas,Standard,04/10/11,David Shiels,1189
2011,Kobe,Extended,04/24/11,Shouta Yasooka,711
2011,London,Limited,05/01/11,Daniel Royde,709
2011,Prague,Limited,05/22/11,Ondrej Baudys,1236
2011,Providence,Legacy,05/29/11,James Rynkiewicz,1179
2011,Singapore,Standard,06/05/11,Paulo Vitor Damo da Rosa,623
2011,Kansas City,Limited,06/19/11,Luis Scott-Vargas,879
2011,Shanghai,Limited,08/21/11,Yuuya Watanabe,633
2011,Pittsburgh,Standard,08/28/11,Yuuya Watanabe,1435
2011,Montreal,Limited,09/18/11,Richard Hoaen,1054
2011,Milan,Limited,10/09/11,Marco Ricci,1790
2011,Brisbane,Standard,10/16/11,Jeremy Neeman,389
2011,Amsterdam,Legacy,10/23/11,Pierre Sommen,1878
2011,Santiago,Limited,10/23/11,Igor Silva Pinto,737
2011,Hiroshima,Standard,10/30/11,Martin Jůza,796
2011,San Diego,Limited,11/13/11,Shahar Shenhar,1045
2012,Austin,Limited,01/07/12,Raphaël Lévy,1044
2012,Orlando,Standard,01/14/12,Conley Woods,926
2012,Kobe,Limited,02/18/12,Masahiro Hiraga,1117
2012,Lincoln,Modern,02/18/12,Bronson Magnan,716
2012,Madrid,Limited,02/25/12,Ivo Grossholz,1314
2012,Baltimore,Standard,02/25/12,Matthew Costa,1545
2012,Lille,Standard,03/03/12,Richard Parker,1505
2012,Seattle,Limited,03/03/12,Robert Smith,1161
2012,Indianapolis,Legacy,03/10/12,Tom Martell,1214
2012,Nashville,Limited,03/17/12,Reid Duke,1037
2012,Kuala Lumpur,Standard,03/24/12,Yuuya Watanabe,612
2012,Mexico City,Limited,03/24/12,Paul Rietzl,685
2012,Melbourne,Limited,03/31/12,David Crewe,558
2012,Salt Lake City,Standard,03/31/12,Shahar Shenhar,1137
2012,Turin,Modern,03/31/12,Antonino de Rosa,1063
2012,Manchester,Limited,04/21/12,Alexandre Darras,1028
2012–13,Malmö,Limited,05/19/12,Matteo Versari,922
2012–13,Minneapolis,Standard,05/19/12,Christian Calcano,1052
2012–13,Anaheim,Block Constructed,05/26/12,Marc Lalague,938
2012–13,Manila,Standard,06/16/12,Yuuya Watanabe,1108
2012–13,Yokohama,Modern,06/23/12,Jyun'ichi Miyajima,1523
2012–13,Vancouver,Limited,06/23/12,David Stroud,849
2012–13,Atlanta,Legacy,06/30/12,Gaudenis Vidugiris,905
2012–13,São Paulo,Limited,07/21/12,Reinaldo Gomes da Silva Jr.,737
2012–13,Ghent,Legacy,07/21/12,Timo Schünemann,1345
2012–13,Columbus,Modern,07/21/12,Jacob Maynard,1046
2012–13,Shanghai,Limited,07/28/12,Bo Li,836
2012–13,Boston,Limited,08/25/12,Brian Demars,1845
2012–13,San José,Limited,09/15/12,Shuhei Nakamura,364
2012–13,Moscow,Limited,09/15/12,Luca Casadei,869
2012–13,San Jose,Team Limited,10/13/12,"Paul Rietzl, Matt Sperling, David Williams",1713
2012–13,Philadelphia,Limited,10/27/12,Shuhei Nakamura,1987
2012–13,Lyon,Modern,11/03/12,Jérémy Dezani,1326
2012–13,Auckland,Standard,11/03/12,Walker MacMurdo,264
2012–13,Chicago,Modern,11/10/12,Jacob Wilson,1115
2012–13,Bochum,Standard,11/17/12,Martin Jůza,1731
2012–13,Charleston,Standard,11/17/12,Jon Bolding,661
2012–13,Taipei,Limited,11/24/12,Makihito Mihara,727
2012–13,San Antonio,Standard,11/24/12,Tyler Lytle,807
2012–13,Lisbon,Limited,12/01/12,Ivan Floch,1343
2012–13,Toronto,Modern,12/08/12,Willy Edel,1051
